Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw
Processing...
Done!
[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.008500099182128906
[PROF] CompBatch duration alice 0.012537240982055664
[PROF] FetchBatch duration alice 0.008681535720825195
[PROF] CompBatch duration alice 0.011543035507202148
[PROF] FetchBatch duration alice 0.008936643600463867
[PROF] CompBatch duration alice 0.012190818786621094
[PROF] FetchBatch duration alice 0.008917570114135742
[PROF] CompBatch duration alice 0.021556377410888672
[PROF] FetchBatch duration alice 0.0096282958984375
[PROF] CompBatch duration alice 0.012595415115356445
[PROF] FetchBatch duration alice 0.012010574340820312
[PROF] CompBatch duration alice 0.018421649932861328
[PROF] FetchBatch duration alice 0.009076833724975586
[PROF] CompBatch duration alice 0.012854337692260742
[PROF] FetchBatch duration alice 0.008919954299926758
[PROF] CompBatch duration alice 0.01175689697265625
[PROF] FetchBatch duration alice 0.008450746536254883
[PROF] CompBatch duration alice 0.01189279556274414
[PROF] FetchBatch duration alice 0.008748054504394531
[PROF] CompBatch duration alice 0.012315034866333008
[PROF] FetchBatch duration alice 0.008535623550415039
[PROF] CompBatch duration alice 0.011974811553955078
[PROF] FetchBatch duration alice 0.008384466171264648
[PROF] CompBatch duration alice 0.011546850204467773
[PROF] FetchBatch duration alice 0.008579015731811523
[PROF] CompBatch duration alice 0.011697053909301758
[PROF] FetchBatch duration alice 0.00874185562133789
[PROF] CompBatch duration alice 0.014357566833496094
[PROF] FetchBatch duration alice 0.008990049362182617
[PROF] CompBatch duration alice 0.014645099639892578
[PROF] FetchBatch duration alice 0.008820772171020508
[PROF] CompBatch duration alice 0.012324333190917969
[PROF] FetchBatch duration alice 0.008699417114257812
[PROF] CompBatch duration alice 0.012499094009399414
[PROF] FetchBatch duration alice 0.008743524551391602
[PROF] CompBatch duration alice 0.011973142623901367
[PROF] FetchBatch duration alice 0.009017705917358398
[PROF] CompBatch duration alice 0.014312744140625
[PROF] FetchBatch duration alice 0.009129047393798828
[PROF] CompBatch duration alice 0.011754751205444336
[PROF] FetchBatch duration alice 0.008635997772216797
[PROF] CompBatch duration alice 0.01188206672668457
[PROF] FetchBatch duration alice 0.009105443954467773
[PROF] CompBatch duration alice 0.013274908065795898
[PROF] FetchBatch duration alice 0.009072065353393555
[PROF] CompBatch duration alice 0.01249384880065918
[PROF] FetchBatch duration alice 0.009060144424438477
[PROF] CompBatch duration alice 0.014759063720703125
[PROF] FetchBatch duration alice 0.008951902389526367
[PROF] CompBatch duration alice 0.011910438537597656
[PROF] FetchBatch duration alice 0.00871896743774414
[PROF] CompBatch duration alice 0.01185297966003418
[PROF] FetchBatch duration alice 0.008904695510864258
[PROF] CompBatch duration alice 0.012314319610595703
[PROF] FetchBatch duration alice 0.008890867233276367
[PROF] CompBatch duration alice 0.01247859001159668
[PROF] FetchBatch duration alice 0.00861358642578125
[PROF] CompBatch duration alice 0.014046192169189453
[PROF] FetchBatch duration alice 0.008850574493408203
[PROF] CompBatch duration alice 0.011565446853637695
[PROF] FetchBatch duration alice 0.008698701858520508
[PROF] CompBatch duration alice 0.011481285095214844
[PROF] FetchBatch duration alice 0.008617401123046875
[PROF] CompBatch duration alice 0.01174616813659668
[PROF] FetchBatch duration alice 0.008533000946044922
[PROF] CompBatch duration alice 0.01161050796508789
[PROF] FetchBatch duration alice 0.009001731872558594
[PROF] CompBatch duration alice 0.013163089752197266
[PROF] FetchBatch duration alice 0.008987665176391602
[PROF] CompBatch duration alice 0.012221336364746094
[PROF] FetchBatch duration alice 0.009176492691040039
[PROF] CompBatch duration alice 0.012016057968139648
[PROF] FetchBatch duration alice 0.008919477462768555
[PROF] CompBatch duration alice 0.012107372283935547
[PROF] FetchBatch duration alice 0.008835315704345703
[PROF] CompBatch duration alice 0.01327967643737793
[PROF] FetchBatch duration alice 0.009215593338012695
[PROF] CompBatch duration alice 0.014846563339233398
[PROF] FetchBatch duration alice 0.009218215942382812
[PROF] CompBatch duration alice 0.012009620666503906
[PROF] FetchBatch duration alice 0.008877754211425781
