[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.017147302627563477
[PROF] CompBatch duration alice 0.024631261825561523
[PROF] FetchBatch duration alice 0.018344640731811523
[PROF] CompBatch duration alice 0.02178645133972168
[PROF] FetchBatch duration alice 0.017162322998046875
[PROF] CompBatch duration alice 0.020749568939208984
[PROF] FetchBatch duration alice 0.017045021057128906
[PROF] CompBatch duration alice 0.029903411865234375
[PROF] FetchBatch duration alice 0.016554832458496094
[PROF] CompBatch duration alice 0.023007631301879883
[PROF] FetchBatch duration alice 0.016561031341552734
[PROF] CompBatch duration alice 0.02216339111328125
[PROF] FetchBatch duration alice 0.017095565795898438
[PROF] CompBatch duration alice 0.027859210968017578
[PROF] FetchBatch duration alice 0.021305322647094727
[PROF] CompBatch duration alice 0.02497076988220215
[PROF] FetchBatch duration alice 0.018775224685668945
[PROF] CompBatch duration alice 0.02799701690673828
[PROF] FetchBatch duration alice 0.018682241439819336
[PROF] CompBatch duration alice 0.02697610855102539
[PROF] FetchBatch duration alice 0.01854848861694336
[PROF] CompBatch duration alice 0.02331829071044922
[PROF] FetchBatch duration alice 0.018280982971191406
[PROF] CompBatch duration alice 0.02290201187133789
[PROF] FetchBatch duration alice 0.018827438354492188
[PROF] CompBatch duration alice 0.03083944320678711
[PROF] FetchBatch duration alice 0.021685123443603516
[PROF] CompBatch duration alice 0.023889780044555664
[PROF] FetchBatch duration alice 0.018709897994995117
[PROF] CompBatch duration alice 0.023128747940063477
[PROF] FetchBatch duration alice 0.018985748291015625
[PROF] CompBatch duration alice 0.028460025787353516
[PROF] FetchBatch duration alice 0.018865108489990234
[PROF] CompBatch duration alice 0.022237300872802734
[PROF] FetchBatch duration alice 0.017508983612060547
[PROF] CompBatch duration alice 0.020917415618896484
[PROF] FetchBatch duration alice 0.017394542694091797
[PROF] CompBatch duration alice 0.021471023559570312
[PROF] FetchBatch duration alice 0.017490148544311523
[PROF] CompBatch duration alice 0.021693706512451172
[PROF] FetchBatch duration alice 0.016837120056152344
[PROF] CompBatch duration alice 0.02228832244873047
[PROF] FetchBatch duration alice 0.017209529876708984
[PROF] CompBatch duration alice 0.03906822204589844
[PROF] FetchBatch duration alice 0.018192052841186523
[PROF] CompBatch duration alice 0.021247148513793945
[PROF] FetchBatch duration alice 0.016793012619018555
[PROF] CompBatch duration alice 0.020109176635742188
[PROF] FetchBatch duration alice 0.030080318450927734
[PROF] CompBatch duration alice 0.032396793365478516
[PROF] FetchBatch duration alice 0.01805591583251953
[PROF] CompBatch duration alice 0.023886919021606445
[PROF] FetchBatch duration alice 0.01762080192565918
[PROF] CompBatch duration alice 0.022740840911865234
[PROF] FetchBatch duration alice 0.01793050765991211
[PROF] CompBatch duration alice 0.026952028274536133
[PROF] FetchBatch duration alice 0.017067670822143555
[PROF] CompBatch duration alice 0.03483462333679199
[PROF] FetchBatch duration alice 0.017061710357666016
[PROF] CompBatch duration alice 0.021267175674438477
[PROF] FetchBatch duration alice 0.016797780990600586
[PROF] CompBatch duration alice 0.025592565536499023
[PROF] FetchBatch duration alice 0.01706385612487793
[PROF] CompBatch duration alice 0.03345680236816406
[PROF] FetchBatch duration alice 0.016875267028808594
[PROF] CompBatch duration alice 0.02781963348388672
[PROF] FetchBatch duration alice 0.017257213592529297
[PROF] CompBatch duration alice 0.030050277709960938
[PROF] FetchBatch duration alice 0.01679539680480957
[PROF] CompBatch duration alice 0.021984338760375977
[PROF] FetchBatch duration alice 0.017136335372924805
[PROF] CompBatch duration alice 0.026762008666992188
[PROF] FetchBatch duration alice 0.017266273498535156
[PROF] CompBatch duration alice 0.03480076789855957
[PROF] FetchBatch duration alice 0.016653776168823242
[PROF] CompBatch duration alice 0.03227353096008301
[PROF] FetchBatch duration alice 0.017254114151000977
[PROF] CompBatch duration alice 0.03504824638366699
[PROF] FetchBatch duration alice 0.01694655418395996
[PROF] CompBatch duration alice 0.022871732711791992
[PROF] FetchBatch duration alice 0.027692794799804688
[PROF] CompBatch duration alice 0.033303260803222656
[PROF] FetchBatch duration alice 0.017745256423950195
[PROF] CompBatch duration alice 0.033865928649902344
[PROF] FetchBatch duration alice 0.017238140106201172
[PROF] CompBatch duration alice 0.03451132774353027
[PROF] FetchBatch duration alice 0.01690196990966797
[PROF] CompBatch duration alice 0.03746938705444336
[PROF] FetchBatch duration alice 0.016886472702026367
[PROF] CompBatch duration alice 0.03201103210449219
[PROF] FetchBatch duration alice 0.017109155654907227
[PROF] CompBatch duration alice 0.03215742111206055
[PROF] FetchBatch duration alice 0.017620563507080078
[PROF] CompBatch duration alice 0.020381689071655273
[PROF] FetchBatch duration alice 0.017335176467895508
[PROF] CompBatch duration alice 0.026075363159179688
[PROF] FetchBatch duration alice 0.01711416244506836
[PROF] CompBatch duration alice 0.028778076171875
[PROF] FetchBatch duration alice 0.01643681526184082
[PROF] CompBatch duration alice 0.027559280395507812
[PROF] FetchBatch duration alice 0.017106294631958008
[PROF] CompBatch duration alice 0.03503990173339844
[PROF] FetchBatch duration alice 0.01812911033630371
[PROF] CompBatch duration alice 0.04616999626159668
[PROF] FetchBatch duration alice 0.0225064754486084
[PROF] CompBatch duration alice 0.04179120063781738
[PROF] FetchBatch duration alice 0.0169527530670166
[PROF] CompBatch duration alice 0.03170490264892578
[PROF] FetchBatch duration alice 0.017940044403076172
